微博id,微博正文,发布时间,点赞数,转发数,评论数
Nos2Tywxs,徕卡只会把F1.7以内的超大光圈镜头以Summilux命名，光圈小于这个范围就不是纯正的Summilux了。看来小米14这次进光量有大看头。  原图 ,2023-10-18 19:33,141,4,37
NorecyshJ,真的很艹，#天台一号# 民宿装修的工人直接把临时固定钉打在铝板上，拆完以后一个洞一个洞的，报废了好多片铝板，干活是真的一点不动脑子。  [组图共4张] 原图 ,2023-10-18 17:28,939,27,261
Noq3VeckE,"小晴最近深度使用了一个月的华为MatePad Pro 13.2""，总结出了十四条关于它的使用经验，说是一定可以帮助到大家。#华为无边大平板 以大见大# 李杰灵的微博视频  ",2023-10-18 14:30,1554,3944,1237
NopprlNhj,今日午饭，道道经典。图1老家带来的地瓜芋头图2木耳凉拌黄瓜图3炒花甲图4老家排骨炖冬瓜。  [组图共4张] 原图 ,2023-10-18 12:50,215,2,97
NohZAbaue,今晚吃法式大餐准备喝红酒，从我的酒柜里随便拿出一瓶，微信扫描二维码显示要2680块，这个价格水分大不大啊？我忘记这酒哪里来的了，不是我买的。  [组图共4张] 原图 ,2023-10-17 17:57,403,4,147
NofSCpVKT,经常有网友说刘欣做饭很清淡，问我怎么吃得下，其实我们俩下馆子点菜也很清淡，她一个贵州人在福建广东生活14年，现在已经是沿海胃了。其实清蒸白灼是很高级的烹饪手法，既考验食材的新鲜程度，又考验烹饪人的手法和火候控制，我为刘欣能够熟练掌握这一高级烹饪手法替她感到自豪。  [组图共6张] 原图 ,2023-10-17 12:34,501,3,175
NofmV70pS,雷兄弟的小米澎湃OS，先不说系统如何，还没体验过，但是这名字绝对是取对了，高端大气上档次，和华为的鸿蒙OS一样，一听就很霸气。  原图 ,2023-10-17 11:16,957,10,222
NofjLtTYk,小可怜又生病了，去年尿闭花了一万救回来的，这次不知道是怎么了，不吃不喝行动迟缓。  [组图共4张] 原图 ,2023-10-17 11:08,252,8,90
NoeWE347K,还有一个多月我就要搬走了，楼上的装修居然还在打钻，比我的天台一号装修更慢。 李杰灵的微博视频  ,2023-10-17 10:11,287,38,103
No9i1fdfP,一个人吃饭也可以很奢侈，点了一份吊龙牛肉丸河粉，不要河粉加倍吊龙60块钱。  [组图共2张] 原图 ,2023-10-16 19:48,495,8,131
No94o9V1q,太惨了吃晚饭刘欣不带我，只能一个人来天台看装修。  [组图共4张] 原图 ,2023-10-16 19:14,368,4,82
No7cVzpjg,随着 AI 大模型时代的到来，AI 的能力迅速升级，渗透进了我们生活中的方方面面，那大家好不好奇，现在国产 AI 大模型发展到什么水平了呢？这期我们就来盘点一下 #中国自研AI大模型能力有多强#？  #机圈大盘点# 李杰灵的微博视频  ,2023-10-16 14:30,939,2176,1037
No70RER49,#中国自研AI大模型能力有多强#？下午2点半发视频和大家好好盘点一下。  原图 ,2023-10-16 14:00,104,3,33
No6wrhWV2,今天中午吃得很丰盛，刘欣做了凉拌苦瓜，番茄炒蛋，小肠瘦肉苦瓜汤，还有我们微店「趣评测商城」热销的当季大闸蟹，大家可以下单品尝一下，清蒸一下就很好吃。  [组图共6张] 原图 ,2023-10-16 12:45,306,4,120
No5PGCreA,#Mate60和iPhone15十大酷刑来了# 本来我想自己测试的，想到预算太高就算了，来看网友测试的结果就好，Mate60无论是经历车压，砸钉子还是百公里时速坠落等，表现都不错，玄武架构果然够硬够强。Mate60在玄武架构的加持下，耐用性能明显提升，即使身处极端条件下，也能正常工作，相比其它手机用起来确实更安心。 [组图共6张] 原图 ,2023-10-16 11:00,266,5,60
No52Y7ueJ,#趣看发布会# 领先百万级MPV？2024款新岚图梦想家发布会总结，进来看看这款产品是否大有可为！#2024款新岚图梦想家# 李杰灵的微博视频  抽奖详情  ,2023-10-16 09:00,1254,3842,1154
No12jr9rh,每天这么努力，不知道还能不能帅回来。  [组图共4张] 原图 ,2023-10-15 22:47,425,8,209
No09ubgf9,天台看到一辆蓝白理想，我的评价是配色很大胆。 深圳·天台精酿  显示地图 [组图共2张] 原图 ,2023-10-15 20:32,204,4,59
NnZYNFs6v,天台生意困难重重，我们选择加大投资，很露二期项目基本装修好了，这次我们花了50万做了一个洋气西餐吧！作为天台很露营地的配套餐饮，主打年轻人喜欢的西式餐食，有汉堡鸡腿牛排饮料啤酒。装修风格方面延续很露营地小清新的风格，力求给大家带来最舒服的户用餐体验。最近就要开始试营业了，大家有空记得来支持一下。 http://t.cn/A6S4K0BC 显示地图 [组图共9张] 原图 ,2023-10-15 20:06,497,13,162
NnZPXpy9e,花1200块买了一个台球桌，欢迎大家有空来天台精酿玩。 深圳·天台精酿  显示地图 [组图共2张] 原图 ,2023-10-15 19:44,266,6,86
NnYz84VLy,#华为Mate系列如何站稳高端#没有Mate60系列是不完整的，这才是华为Mate系列真正的十年。#趣体验# 李杰灵的微博视频  抽奖详情  ,2023-10-15 16:30,424,566,179
NnPENte55,前阵子，我们做了一个视频，话题iPhone用户羡慕的安卓功能上了热搜，很多网友觉得这样不公平，还得再做一期，我觉得很有道理，今天这期视频我们就来盘点一下#安卓用户羡慕的iPhone功能# ！#iPhone用户羡慕的安卓功能##机圈大盘点# 李杰灵的微博视频  ,2023-10-14 17:49,412,724,174
NnPwN76QF,这也能被夹，充分说明微博审核广告的不是机器，而是人。  原图 ,2023-10-14 17:29,321,14,106
NnO2utfdm,小时候考试要100分才能吃到肯德基，现在昨晚喝酒晚回家就能轻易吃到了。  原图 ,2023-10-14 13:42,507,4,106
NnNnFlwwv,昨晚喝多了，今天没小刘做的午饭吃了。  [组图共2张] 原图 ,2023-10-14 12:01,462,0,96
NnImpDqph,#趣看发布会# 大折叠但是直板价？荣耀Magic Vs2发布会总结。 李杰灵的微博视频  ,2023-10-13 23:14,367,278,82
NnHfPcX0q,参加了一个高端饭局，喝汤用功夫茶杯喝的。  [组图共3张] 原图 ,2023-10-13 20:25,321,5,78
NnGH28ADd,最近硬盘的价格有所回落，很多价格实惠的大容量无缓硬盘出现，那么用作系统盘、资料盘、软件盘，有缓盘无缓盘应该怎么选？以及#硬盘散热片到底有用吗#  为了硬盘寿命、性能有必要买散热片吗？这期视频将通过大量数据实测告诉你#三星存储##三星990 Pro##三星固态硬盘# 李杰灵的微博视频  ,2023-10-13 19:00,1215,3380,981
NnFOek1Oe,我来搬是咖啡机篮球羽毛球手办这些实用的东西，而小刘搬了一箱天台上剪的花花草草，说要拿回家插花。真羡慕她，有我这么靠谱的老公她才能天天这么浪漫。  [组图共3张] 原图 ,2023-10-13 16:45,390,1,73
NnF8GaMPE,今天回山上的房子搬东西，卖了半年卖不掉，现在一看感觉旧了好多，最关键的是住了好多小动物，它们也不交房租我心里很不甘心，实在不行我年底再搬回来住吧！  [组图共6张] 原图 ,2023-10-13 15:02,1187,18,455
NnD9R3jne,#趣体验# 优秀的设计？高端的工艺？极致的体验？究竟什么样，才能配得上「非凡大师」。#Mate60RS评测# 李杰灵的微博视频  ,2023-10-13 10:00,1229,3219,965
NnxQoBEl8,和小刘在公园约会，偶遇@闪电三号威哥 在拍跑步测防抖，最后我们俩被他拉上一起拍小视频，四舍五入今天也算是加班到现在了。  [组图共6张] 原图 ,2023-10-12 20:28,835,9,168
NnxIWrDCE,仅仅三个月，#荣耀连发3款折叠屏抢占高端用户#，时尚轻薄的“最美折叠屏”V Purse，全面叠料的轻薄商务旗舰Magic V2，还有作为轻薄折叠新主力的#荣耀Magic Vs2# 。不同价位不同需求的完整覆盖，当折叠屏手机来到直板旗舰的区间，那么是时候换折叠屏了。#荣耀折叠屏第三季度国内销量第一# http://t.cn/A6WzeCyd http://t.cn/A6WymeQX ,2023-10-12 20:10,1369,3275,998
NnvPKgwLU,宝马XM被吊毛志斌开走了，这两天我开开智驾天花板吧！ 深圳·深圳市趣评测科技有限公司  显示地图 [组图共4张] 原图 ,2023-10-12 15:21,336,3,101
NnvBX7mrq,上次看完这么大一本纸质书就是《乔布斯传》，其实我对乔布斯是比较陌生的，所以很有好奇心看下去，但是对马斯克感觉很熟悉，就是活在当下的人，不知道能不能完整看完。 深圳·深圳市趣评测科技有限公司  显示地图 [组图共4张] 原图 ,2023-10-12 14:47,160,2,68
NnvfueKQS,最近关于MIUI新版本的讨论又多了起来，大家最期待哪些改进？在我看来，当前MIUI版本在功能性上已经做得很好了，大部分常用的功能都有，开放性做得也很好，依然能解锁BL、root，刷机搞机的乐趣在MIUI上还能找到。不过在动效，后台保活和打断动画上还有改进的空间，希望新版本能提升动效、改善后台驻留等体验。 http://t.cn/A6WzomNH ,2023-10-12 13:51,138,58,53
NnuTK8hHR,感谢@咕噜小_ 昨天打卡很野露营地，让我获得了30083次互动，超越100%的同领域创作者，新增粉丝627。 深圳·很野露营地  显示地图 原图 ,2023-10-12 12:58,1461,47,267
NnuA1npMP,简简单单，又是一餐。小刘要把海鲜放到贵州羊肉汤里一起煮，被我看到后及时制止了。  [组图共3张] 原图 ,2023-10-12 12:09,522,3,148
Nno1tjFx1,今日运动量，教小刘打球！#网球天才#  [组图共6张] 原图 ,2023-10-11 19:28,1084,8,248
NnnfvuLEi,昊铂HT这鸥翼门有点帅…中国Model X了属于是@Hyper昊铂以前很长一段时间的中国品牌车都是在走低价实用路线，现在感觉真的是百花齐放了，尤其是新能源车。估计这车价格肯定不会到百万级，如果跟做到Model Y差不多的话应该就还不错了。总之志斌快买了借我装X。#精英家庭座驾“中国Model X ”昊铂HT#  [组图共3张] 原图 ,2023-10-11 17:30,331,57,157
NnnaacMSA,忙完露营地的工作，马上赶来#天台一号#监工，师傅说@木小北 的橱柜五金件发成长臂的了，要短臂的才能装，补寄的话会导致工期延长一天，严重影响我民宿的开业大计，出来挨打！  [组图共3张] 原图 ,2023-10-11 17:16,330,8,97
NnmGw1VVf,今天我是放泡沫小弟，全力助阵咕噜小拍摄。 深圳·很野露营地  显示地图 原图 ,2023-10-11 16:03,2002,45,384
NnmkCbnKP,数码博主立大功，咕噜小的手机我帮设置的。 深圳·很野露营地  显示地图 [组图共6张] 原图 ,2023-10-11 15:09,1813,14,289
NnlH62GFw,哈哈哈哈哈哈哈哈哈哈，追星成功！！！很野露营地牛逼！ 深圳·很野露营地  显示地图 [组图共3张] 原图 ,2023-10-11 13:32,6220,214,1551
NnliV1UzV,太浮夸了，不是我做的，是阿峰做的。 深圳·很野露营地  显示地图 [组图共2张] 原图 ,2023-10-11 12:32,1309,12,226
NnkX6wyg2,很野露营地是我最操心的项目，决定穿上工服待会去现场帮忙。  [组图共2张] 原图 ,2023-10-11 11:39,1210,13,278
NnfWLyDxY,摄影作品：《低调的奢华》  [组图共2张] 原图 ,2023-10-10 22:54,540,7,94
Nnetbm15L,摄影作品：《深圳布达拉宫》 深圳·白石龙音乐公园  显示地图 [组图共2张] 原图 ,2023-10-10 19:09,446,7,63
Nnd7Q5Xee,机满为患，求各位老板带走，@趣评测闪电 正在加急更新中！！！  [组图共6张] 原图 ,2023-10-10 15:43,466,12,230
NnaWfhBUA,呵呵，这个酒店是懂得安慰人的。  [组图共2张] 原图 ,2023-10-10 10:09,1410,16,184
Nn5csybIZ,忙碌了一天的李师傅终于回家，吃上了小刘精心准备的大牛排。  [组图共2张] 原图 ,2023-10-09 19:33,395,3,92
Nn4yBmhjo,下午在#天台一号# 民宿工地待了一个下午，被我发现阁楼这个木框架没做好，应该靠左一点，让木框架和天花板灯带的线条在同一平面上，现在突出来一点不好看。包工头对我的观察力和极品审美很佩服，说马上安排工人拆了重做。  [组图共4张] 原图 ,2023-10-09 17:54,282,2,119
Nn3HjqerO,很绝，每次深圳下大雨，#天台一号# 民宿都能发现新的漏水点。  [组图共6张] 原图 ,2023-10-09 15:43,715,17,333
Nn3ix9sK9,#趣看发布会# 王炸登场！华为Mate60 RS非凡大师发布会总结。 李杰灵的微博视频  ,2023-10-09 14:42,462,519,150
Nn2CKny8N,福田冒烟了，不想去上班。  原图 ,2023-10-09 12:59,229,3,77
NmVinyWCk,#趣体验# 之前和大家聊过各种上万元的电视，网友们总觉得还不够高端，今天带大家来看看这台仅需28万的B＆O高端电视长啥样。 李杰灵的微博视频  ,2023-10-08 18:20,180,43,65
NmUsJkddf,我司楼下来了一辆智己LS6，这外观设计手法也太像装修行业里的奶油风了吧！找詹帅拿下钥匙，晚上开出去兜风。 深圳·深圳市趣评测科技有限公司  显示地图 [组图共4张] 原图 ,2023-10-08 16:12,455,8,134
NmTSMaYLk,#数码博主平时开什么车#今天开的#理想L9#，因为旁边的法拉利和大G我没钥匙。  [组图共3张] 原图 ,2023-10-08 14:44,377,10,81
NmThjdEeW,隆重介绍一下小刘给我做的爱心午餐。图2，爱心土鸡汤图3，爱心梅菜笋干土鸭图4，爱心佛手瓜豆角图5，爱心地瓜饭图6，我自己点的奶茶。  [组图共6张] 原图 ,2023-10-08 13:12,467,3,191
NmSKsnXZN,爸爸又开始教训女儿了，看得出来一千八确实很怕。  [组图共3张] 原图 ,2023-10-08 11:51,298,4,52
NmKYRiY1v,每次出差都是我给@小晴Kiwa 和@闪电三号威哥 当司机，为了杜绝这种职场不公，我贡献出了我的战损版理想L9并且亲自陪他俩练车，我这种好老板放在整个深圳来说都是相当炸裂的！ 深圳·深圳市趣评测科技有限公司  显示地图 [组图共4张] 原图 ,2023-10-07 16:04,601,11,246
NmIGF3fpi,兄弟姐妹们，今天工作日了，你们出门和这个世界战斗了吗？我是下午出去战斗。  原图 ,2023-10-07 10:14,282,4,88
NmEiO5HWu,中秋国庆8天假期，我们很野露营地做了12万的营业额，晚上我来很野试新买的音响，很野的小伙伴都说要是假期我来这里卖唱，生意一定会翻一倍。另外上铁粉专享听歌福利，图5：《光阴的故事》图6：《像我这样的人》图7：《我可以》图8：《把悲伤留给自己》图9：《七里香》 http://t.cn/A69bmdMF 显示地图 [组图共4张] 原图 ,2023-10-06 23:04,730,51,320
NmCMW2PaI,今天开着大宝马来很野看看，又采购了一套小米巨省电空调，现在有一部分巨省电是松下代工生产的了，比如我这台，用起来功能和参数都是一样的，只是代工厂不同，松下制造带点心理玄学加成吧，小米设计+松下制造挺棒的，小米和松下的合作也算是开始顺利落地了。另外还花8000多块在淘宝买了一对图4图5这种可以插吉他的高级音响，待会我找@菜尾蝗-旅行摄影 帮我弹，唱一首歌给大家听。 http://t.cn/A69bmdMF 显示地图 [组图共6张] 原图 ,2023-10-06 19:13,345,11,140
NmBm66Glb,34岁混成这样，属于什么水平？  原图 ,2023-10-06 15:34,1660,41,722
NmAf6jCnc,有网友问，以我李杰灵的影响力买华为Mate 60 RS要加价多少钱。这么说吧，我的影响力在这件事情上可以忽略不计。图2底部，黑色加6000多，红色加2万左右。  [组图共2张] 原图 ,2023-10-06 12:44,611,16,163
NmzUFemnU,很多人问我微博该怎么发，才不会让人讨厌，今天就和大家分享一下这个经验。举个例子，前几天我写了一篇小作文「当老板的优缺点」，其实我那篇主要想表达的就是前面的三条缺点，特别是第三条和员工的相处问题。但是我如果只写缺点，这篇小作文就会变成一种情绪埋怨，评论区肯定有人抬杠，当老板那么多优点你怎么不说。如果缺点优点都着重写，其实同类型的文章网络上很多，网友在看你这篇小作文的时候甚至会觉得你当个小老板在秀优越感。而当你在结尾只写一个优点：钱多。大家会被这个意料之外又情理之中的反转结尾消解掉不同意的情绪，本来可能想抬杠的，但是你都自己给自己抬杠了，评论区也就和谐很多了。这就是欧亨利式结尾的魅力。解释一下欧·亨利式结尾，简单来说就是给人以出乎意料的感觉，又不得不承认他的合情合理。一般可以更好的刻画人物形象，丰富故事的内容。这种结尾艺术在欧·亨利的作品中有充分的体现。故被称为“欧·亨利式结尾”。很多网友调侃我的小作文，说杰灵写的只看最后一段就可以了，前面不重要。其实不是这样的，我写的大部分小作文其实想表达的都在前面，结尾的反转或者植入广告，只是想让前面的长篇大论不被讨厌而已。有时候我是想到了一个结尾的段子，然后构思了整篇前面的文章，类似于为了一碟醋，包了一顿饺子。有时候是有想表达的东西，但是缺一个点睛之笔的结尾，我会等到有灵感了再把它写出来。我总结的经验就是，尽量别试图在微博上教网友做事，就算真要教，表达的技巧很重要，平铺直述的大道理虽然都是对的，但是会让人有抗拒的冲动甚至觉得你在讲正确的废话，因此运用一定的表达技巧不但能够帮助你更好的输出观点，也能让网友更喜欢你，觉得你牛逼。没错，让网友觉得你牛逼也是一件很重要的事。牛逼的人讲的道理才是真道理，你自己不强大的时候，网友有100种角度来杠你。只不过这种牛逼感的营造也需要小心翼翼，掌握好度。发微博的时候，你可以调侃网友，但是要注意是调侃而不是取笑。比如我经常调侃志斌的身高，其实是因为他并不矮，只是比我矮而已，他的身高是正常人的身高，如果他真的很矮，我是不会调侃他的身高的。志斌老是说我丑，讽刺我是「趣评测第一帅」，那是因为其实我并不是非常丑，只是没有那么帅而已，如果我真的非常丑，我相信他也不会调侃我的。我们在开玩笑的时候不能拿别人真正的缺点开玩笑，这是最基本的情商。和网友开玩笑也是这样的，你可以调侃网友偷懒摸鱼，可以调侃网友躺平不上进，可以调侃网友没你帅，可以调侃网友熬夜不自律，但是你不能调侃网友穷，李佳琦在直播间就犯了这个错误，因为网友是真穷。所以你看，发微博其实是很有技术含量的，很多网友说我的工作内容就是每天刷刷微博看看美女，很爽的样子，但还真不是每个人都能做好。我再给大家举个例子。昨天@趣评测闪电 跟我说，9月份二手手机回收数量暴涨，比之前多了750万的库存手机，让我想点办法尽快出货，不然就要掉价亏钱了，这其实是幸福的烦恼。按照一般的思路，可能我就直接发个微博装个逼，说我们回收到了100台iPhone 14 Pro Max，说我们库存很多，花了超级多钱。但是这种简单粗暴的装逼方法其实会让网友觉得你很疏远，正确的方式应该是把我们回收资金不够，临时跟朋友借钱的情况说出来，你看底下这几张聊天截图，单单张老板我就向他借了200万。把这个事实说出来，其实不会让网友觉得你不牛逼，反而更能让网友感受到你的库存压力，感受到做生意的风险和资金成本，甚至让网友觉得你做人肯定很好，200万随便借。你看，不同的装逼思路效果完全不同，这就是发好微博的秘诀。我和@趣评测闪电 得意地讲了上面的装逼策略，正准备听他夸我呢，但是他还是很焦虑，跟我说装逼不是重点，重点是你要把我们决定降价促销，把750万二手手机上架到淘宝店「趣评测商城」这件事植入到你的欧亨利式结尾小作文里啊。我拍拍他的肩膀跟他说，你别急，我这不是已经植好了嘛。 [组图共4张] 原图 ,2023-10-06 11:54,1668,211,478
Nmsy2phjc,兄弟们，架子一拆，#天台一号#民宿的豪宅范出来了有没有。  [组图共9张] 原图 ,2023-10-05 17:09,362,8,192
NmrGDunAp,今天开大宝马来公司上班，同事们都还没来，但是不影响我提前制订下周公司的发展战略。 深圳·深圳市趣评测科技有限公司  显示地图 [组图共3张] 原图 ,2023-10-05 14:57,478,5,100
NmqWmypvR,今日午饭大功告成，酱香酸菜鱼配蛋糕，茅台的味道真的太猛了，加水煮了以后还能明显吃出酱香味，确实是很特别的吃鱼体验，给小刘点个赞。  [组图共2张] 原图 ,2023-10-05 13:03,453,8,124
NmqRw3IAQ,超级多网友想跟小刘学做菜，其实她也是看网上视频学的。  [组图共3张] 原图 ,2023-10-05 12:51,359,3,107
NmqFDgakS,创意菜非凡大师在网上看到一个菜谱，征用我的茅台决定中午做酱香酸菜鱼。让我们拭目以待。  [组图共4张] 原图 ,2023-10-05 12:22,481,12,132
NmkSEkL6L,哥因为剪了一个帅发型，今天终于有喝酒搭子了。  [组图共6张] 原图 ,2023-10-04 21:37,951,11,202
Nmk26q4Ea,带创意菜非凡大师下馆子，吃的是正宗新疆手抓饭，一路上好像都不太开心，不知道是哪里得罪她了。 深圳·新疆红柳花餐厅  显示地图 [组图共9张] 原图 ,2023-10-04 19:28,1032,9,211
Nmi8kd4P9,请总监剪了个头发，很成功不由得想吟诗：鬓挽青云欺靛染，眉分新月似刀裁。  [组图共3张] 原图 ,2023-10-04 14:38,996,12,433
Nmhe8lVSU,小刘做的南方菜，紫菜排骨汤，佛手瓜炒豆角，梅菜笋干煮鹅肉，每一道都很经典，现在邀请评论区的各位美食大师夸奖点评一下。  [组图共3张] 原图 ,2023-10-04 12:19,837,14,346
NmgyMmRvP,当了10年老板，今天和大家好好分享一下当老板的优缺点。先说缺点：1，当老板确实没有下班时间也没有真正意义上的节假日，就算身体闲下来了，脑袋也闲不下来，很难获得真正意义上的放松。导致的最直接结果就是看似参与了很多休闲娱乐活动，但是却不能沉浸其中，就连开心的时候笑容也比别人短，似乎永远比别人更快抽离快乐的环境。只有喝完酒可以短暂真正放松，很多老板养成了喝酒的坏习惯。2，很大一部分时间在“提心吊胆”，小的比如担心客户投诉，快递丢失，货出问题，大点的也有骨干员工离职，应收欠款跑路，公司财物丢失等。大大小小的问题很多，之前在华强北努力从作坊式的工作模式转变成公司运营的时候问题更多，有一阵子我看到手机屏幕上志斌打来电话我的心就会慌一下，因为小事微信说，只有出大事了才会打电话。3，长时间纠结如何处理和员工的关系。可能很多“打工人”会以为老板决定他们的去留甚至工作内容以及工作评价都是随心所欲的，但事实上，我以及我身边认识的很多老板都会在如何处理员工这件事上费很多心思以及情感。老板在面对员工的时候通常是1对多，每个员工情况又各不相同，很难用同一套情感标准来做决定，这就会导致纠结和后悔，其实是很消耗心力的。另外可能大家不认同，很多老板都觉得自己在情感上被个别员工“伤害”过，有过这个经历的在对待员工的问题上，会更纠结和难受。接下来讲优点：1，钱多。 ,2023-10-04 10:38,3096,346,497
NmbUF4zLh,http://t.cn/8kKpb6Y 我的评分：两星半吧！剧本不行，我想不通除了黄轩他弟和他的女朋友有可能舍命劫车救他以为，其他人为什么会命也不要地去救他。总不能是因为黄轩他弟或者他女朋友很有钱吧？那很有钱为什么之前要抢劫火车呢？那些炸弹枪支雇的俄罗斯马仔不用钱？类似这样的逻辑bug有好几个，包括买战斗机和黄轩突然强奸真真这两段都非常出戏。剧本真不行。 ,2023-10-03 22:48,113,2,71
Nm9peeSIw,施工慢有多方面原因，但也有惊喜，赛博朋克这套房子之前一直没想到怎么装修，就放着了，结果6月份有个综艺节目「奇迹焕新家」找到我，给了我一个方案，我觉得非常牛逼，是建筑师王开设计的。图1是我原本自己定的户型图，一房一厅90平方左右。建筑师王开天马行空地把房间做成一个方形电动盒子放在屋子中间，客厅和卧室的界线模糊了，我要的游戏区，休闲区，餐厅区围绕在这个不规则摆放的四方体周围，真的既满足了我的功能需求，又十分标新立异。盒子全关着的时候，看着像一个艺术品，打开以后又是一个男生的秘密基地，简直就是个天才！节目第一集已经在隔壁B站播出了，但是项目到现在还没有完工，目前我也没看到成品，不知道能不能像效果图这么酷炫。另外这90平的空间全部的装修费用估计要100多万，天才的设计确实比较贵。总之，等待也不是毫无价值，也许最后真能惊艳你们。 [组图共9张] 原图 ,2023-10-03 16:25,768,41,225
Nm8Pgovvc,国庆放假8天，#天台一号#民宿也要停工8天，让本不富裕的施工时间雪上加霜，有一种生命被浪费了8天的感觉。难受想哭。  [组图共3张] 原图 ,2023-10-03 14:56,361,8,154
Nm7EE3flL,人在深圳，胃在老家，小刘好样的。 深圳  显示地图 [组图共6张] 原图 ,2023-10-03 11:57,506,8,162
